category_name_english,actual_units,naive_prediction,xgboost_prediction,champion_prediction,absolute_error,evaluated_rows,forecast_month_count,mae
watches_gifts,2949,2862.0,2969.0537109375,2862.0,603.0,6,6,100.5
computers_accessories,2963,3519.0,3679.7422790527344,3519.0,590.0,6,6,98.33333333333331
sports_leisure,3157,3323.0,3827.819580078125,3323.0,460.0,6,6,76.66666666666667
furniture_decor,3034,3026.0,3669.308319091797,3026.0,410.0,6,6,68.33333333333333
health_beauty,4572,4387.0,4151.165222167969,4387.0,395.0,6,6,65.83333333333333
bed_bath_table,4289,4319.0,4084.6492309570312,4319.0,346.0,6,6,57.66666666666666
housewares,3227,3002.0,2856.9981384277344,3002.0,335.0,6,6,55.833333333333336
office_furniture,621,698.0,799.9943161010742,698.0,271.0,6,6,45.16666666666666
electronics,1158,1370.0,1532.570068359375,1370.0,250.0,6,6,41.66666666666666
cool_stuff,971,1032.0,1227.3360748291016,1032.0,239.0,6,6,39.833333333333336
garden_tools,1320,1477.0,1711.927719116211,1477.0,227.0,6,6,37.833333333333336
toys,1154,1128.0,1212.1507873535156,1128.0,200.0,6,6,33.333333333333336
pet_shop,958,859.0,963.5644912719728,859.0,199.0,6,6,33.166666666666664
telephony,1571,1654.0,1807.5307006835935,1654.0,193.0,6,6,32.166666666666664
unknown,350,436.0,633.6390190124512,436.0,166.0,6,6,27.666666666666668
auto,1998,1943.0,1980.3194885253904,1943.0,161.0,6,6,26.83333333333333
fashion_bags_accessories,636,617.0,775.1474227905273,617.0,161.0,6,6,26.83333333333333
stationery,971,947.0,1114.597396850586,947.0,132.0,6,6,22.0
home_appliances,444,429.0,455.80449295043945,429.0,125.0,6,6,20.83333333333333
food,322,245.0,247.3147735595703,245.0,123.0,6,6,20.5
construction_tools_construction,671,577.0,641.3225021362305,577.0,122.0,6,6,20.33333333333333
perfumery,1172,1165.0,1304.2567596435547,1165.0,103.0,6,6,17.166666666666668
baby,1340,1300.0,1449.48828125,1300.0,94.0,6,6,15.666666666666666
drinks,198,202.0,241.1365394592285,202.0,92.0,6,6,15.333333333333334
signaling_and_security,130,123.0,124.07206439971924,123.0,91.0,6,6,15.166666666666666
furniture_living_room,191,177.0,168.542724609375,177.0,90.0,6,6,15.0
small_appliances,263,272.0,326.86694717407227,272.0,79.0,6,6,13.166666666666666
books_technical,176,173.0,176.2771224975586,173.0,79.0,6,6,13.166666666666666
industry_commerce_and_business,172,199.0,222.61151695251465,199.0,75.0,6,6,12.5
home_construction,376,366.0,385.6966972351074,366.0,72.0,6,6,12.0
construction_tools_lights,259,214.0,209.31531047821045,214.0,71.0,6,6,11.833333333333334
luggage_accessories,316,297.0,377.0204658508301,297.0,61.0,6,6,10.166666666666666
consoles_games,300,292.0,364.5028991699219,292.0,60.0,6,6,10.0
books_general_interest,236,228.0,261.9761619567871,228.0,58.0,6,6,9.666666666666666
art,134,128.0,136.13366985321045,128.0,48.0,6,6,8.0
musical_instruments,298,301.0,372.72851943969727,301.0,47.0,6,6,7.833333333333333
agro_industry_and_commerce,101,109.0,118.0577220916748,109.0,46.0,6,6,7.666666666666667
kitchen_dining_laundry_garden_furniture,115,114.0,122.37092399597168,114.0,45.0,6,6,7.5
audio,154,143.0,150.64196968078613,143.0,39.0,6,6,6.5
home_appliances_2,114,121.0,118.72240829467772,121.0,37.0,6,6,6.166666666666667
food_drink,111,113.0,118.37860870361328,113.0,36.0,6,6,6.0
construction_tools_safety,124,107.0,107.61185264587402,107.0,35.0,6,6,5.833333333333333
costruction_tools_tools,61,59.0,74.59747409820557,59.0,34.0,6,6,5.666666666666667
small_appliances_home_oven_and_coffee,64,52.0,64.67993068695068,52.0,32.0,6,6,5.333333333333333
cine_photo,58,51.0,68.7572660446167,51.0,31.0,6,6,5.166666666666667
