fold,forecast_month,model,train_rows,validation_rows,max_train_forecast_month,mae,rmse,wape,smape,mape,r2
1,2018-03,naive_lag_1,592,65,2018-02,22.67692307692308,46.07652497580686,18.4019975031211,33.84094878900658,38.99670859817786,0.9451838451700462
1,2018-03,xgboost,592,65,2018-02,22.58843662555401,40.70006190415416,18.330192018239835,40.53957720073122,79.21133039116334,0.9572299978648684
2,2018-04,naive_lag_1,657,67,2018-03,21.91044776119403,41.34925868779089,18.794008449622325,35.66683634229995,38.31742217533646,0.9468746479418012
2,2018-04,xgboost,657,67,2018-03,21.42215637662517,35.92521982340034,18.37516934110724,44.37938837623152,93.86439242627748,0.9598980737679932
3,2018-05,naive_lag_1,724,66,2018-04,17.636363636363637,33.74368627812267,14.898246512223215,28.857840554310183,37.40451979564153,0.9679357473207336
3,2018-05,xgboost,724,66,2018-04,28.98999178048336,58.69013900170273,24.489177748776424,43.48471013835968,91.06348061048472,0.9030012027746228
4,2018-06,naive_lag_1,790,64,2018-05,22.15625,42.1993039042115,20.205186662866915,34.200487605809805,36.88632795087096,0.945448865356323
4,2018-06,xgboost,790,64,2018-05,35.48962963372469,67.18617525245917,32.36443853745198,41.11139648736016,70.01343163142981,0.8617220123055522
5,2018-07,naive_lag_1,854,63,2018-06,15.412698412698411,28.12810829384863,13.989338712001151,32.58886204779166,41.08332661529767,0.972923350534629
5,2018-07,xgboost,854,63,2018-06,21.24231181069026,36.63572050477478,19.28058844652768,40.54133551228666,69.8516893823753,0.9540671549719366
6,2018-08,naive_lag_1,917,63,2018-07,15.53968253968254,25.70992026436488,13.723016540510232,30.190122910686096,38.885799201899175,0.9789490810709632
6,2018-08,xgboost,917,63,2018-07,22.14158296585083,39.263488713472256,19.553122047218984,35.296488111165225,77.82051718756927,0.950903857514202
