category_name_english,forecast_month,feature_cutoff_month,target_units,lag_1,lag_2,lag_4,rolling_mean_3,month_num,is_q4,target_period_order_count,is_partial_period,is_low_volume_period,is_comparable_period
fashion_bags_accessories,2017-03,2017-02,66,36,35,8,24.0,3,0,2682,False,False,True
health_beauty,2017-03,2017-02,208,154,82,3,92.0,3,0,2682,False,False,True
air_conditioning,2017-04,2017-03,15,17,11,8,10.666666666666666,4,0,2404,False,False,True
auto,2017-04,2017-03,84,78,83,8,64.0,4,0,2404,False,False,True
baby,2017-04,2017-03,50,42,32,11,38.0,4,0,2404,False,False,True
bed_bath_table,2017-04,2017-03,271,279,157,8,160.66666666666666,4,0,2404,False,False,True
computers_accessories,2017-04,2017-03,132,171,100,12,100.66666666666667,4,0,2404,False,False,True
consoles_games,2017-04,2017-03,17,47,18,7,28.666666666666668,4,0,2404,False,False,True
cool_stuff,2017-04,2017-03,114,118,69,7,74.66666666666667,4,0,2404,False,False,True
electronics,2017-04,2017-03,48,37,19,1,22.333333333333332,4,0,2404,False,False,True
fashio_female_clothing,2017-04,2017-03,1,1,3,1,2.0,4,0,2404,False,False,True
fashion_bags_accessories,2017-04,2017-03,48,66,36,1,45.666666666666664,4,0,2404,False,False,True
fashion_male_clothing,2017-04,2017-03,5,9,6,1,5.333333333333333,4,0,2404,False,False,True
fashion_shoes,2017-04,2017-03,23,14,3,1,6.0,4,0,2404,False,False,True
fixed_telephony,2017-04,2017-03,6,20,22,5,21.333333333333332,4,0,2404,False,False,True
food,2017-04,2017-03,8,21,8,1,10.333333333333334,4,0,2404,False,False,True
furniture_decor,2017-04,2017-03,191,315,257,65,249.66666666666666,4,0,2404,False,False,True
garden_tools,2017-04,2017-03,108,146,69,5,89.66666666666667,4,0,2404,False,False,True
health_beauty,2017-04,2017-03,180,208,154,40,148.0,4,0,2404,False,False,True
housewares,2017-04,2017-03,169,196,69,12,97.66666666666667,4,0,2404,False,False,True
market_place,2017-04,2017-03,19,17,20,11,14.0,4,0,2404,False,False,True
office_furniture,2017-04,2017-03,58,74,62,6,48.0,4,0,2404,False,False,True
perfumery,2017-04,2017-03,101,105,49,29,62.666666666666664,4,0,2404,False,False,True
pet_shop,2017-04,2017-03,51,44,39,4,32.333333333333336,4,0,2404,False,False,True
sports_leisure,2017-04,2017-03,203,190,149,17,137.66666666666666,4,0,2404,False,False,True
telephony,2017-04,2017-03,142,165,106,8,97.66666666666667,4,0,2404,False,False,True
toys,2017-04,2017-03,113,102,66,24,69.66666666666667,4,0,2404,False,False,True
unknown,2017-04,2017-03,69,60,56,2,42.666666666666664,4,0,2404,False,False,True
watches_gifts,2017-04,2017-03,95,79,33,4,41.0,4,0,2404,False,False,True
air_conditioning,2017-05,2017-04,7,15,17,4,14.333333333333334,5,0,3700,False,False,True
audio,2017-05,2017-04,17,11,14,2,10.0,5,0,3700,False,False,True
auto,2017-05,2017-04,113,84,78,31,81.66666666666667,5,0,3700,False,False,True
baby,2017-05,2017-04,102,50,42,40,41.333333333333336,5,0,3700,False,False,True
bed_bath_table,2017-05,2017-04,361,271,279,46,235.66666666666666,5,0,3700,False,False,True
books_general_interest,2017-05,2017-04,20,12,24,2,14.666666666666666,5,0,3700,False,False,True
computers_accessories,2017-05,2017-04,309,132,171,31,134.33333333333334,5,0,3700,False,False,True
consoles_games,2017-05,2017-04,29,17,47,21,27.333333333333332,5,0,3700,False,False,True
cool_stuff,2017-05,2017-04,241,114,118,37,100.33333333333333,5,0,3700,False,False,True
dvds_blu_ray,2017-05,2017-04,4,2,4,2,2.3333333333333335,5,0,3700,False,False,True
electronics,2017-05,2017-04,65,48,37,11,34.666666666666664,5,0,3700,False,False,True
fashio_female_clothing,2017-05,2017-04,4,1,1,2,1.6666666666666667,5,0,3700,False,False,True
fashion_bags_accessories,2017-05,2017-04,104,48,66,35,50.0,5,0,3700,False,False,True
fashion_male_clothing,2017-05,2017-04,4,5,9,1,6.666666666666667,5,0,3700,False,False,True
fashion_shoes,2017-05,2017-04,22,23,14,1,13.333333333333334,5,0,3700,False,False,True
fashion_underwear_beach,2017-05,2017-04,7,3,6,2,5.666666666666667,5,0,3700,False,False,True
fixed_telephony,2017-05,2017-04,9,6,20,22,16.0,5,0,3700,False,False,True
food,2017-05,2017-04,3,8,21,2,12.333333333333334,5,0,3700,False,False,True
furniture_decor,2017-05,2017-04,271,191,315,177,254.33333333333334,5,0,3700,False,False,True
furniture_living_room,2017-05,2017-04,32,12,24,10,19.0,5,0,3700,False,False,True
garden_tools,2017-05,2017-04,138,108,146,54,107.66666666666667,5,0,3700,False,False,True
health_beauty,2017-05,2017-04,284,180,208,82,180.66666666666666,5,0,3700,False,False,True
