order_year_month,order_count,item_merchandise_value_ex_freight,item_revenue_ex_freight,avg_item_merchandise_value_per_order,avg_item_revenue_per_order,is_partial_period,is_low_volume_period,is_comparable_period
2016-09,4,267.36,267.36,66.84,66.84,True,True,False
2016-10,324,49507.65999999999,49507.65999999999,152.80141975308638,152.80141975308638,False,False,True
2016-12,1,10.9,10.9,10.9,10.9,False,True,False
2017-01,800,120312.87000000004,120312.87000000004,150.39108750000005,150.39108750000005,False,False,True
2017-02,1780,247303.02000000014,247303.02000000014,138.9342808988765,138.9342808988765,False,False,True
2017-03,2682,374344.3000000001,374344.3000000001,139.5765473527219,139.5765473527219,False,False,True
2017-04,2404,359927.2300000001,359927.2300000001,149.72014559068225,149.72014559068225,False,False,True
2017-05,3700,506071.13999999996,506071.13999999996,136.77598378378377,136.77598378378377,False,False,True
2017-06,3245,433038.5999999999,433038.5999999999,133.4479506933744,133.4479506933744,False,False,True
2017-07,4026,498031.47999999963,498031.47999999963,123.70379533035262,123.70379533035262,False,False,True
2017-08,4331,573971.6799999996,573971.6799999996,132.5263634264603,132.5263634264603,False,False,True
2017-09,4285,624401.689999999,624401.689999999,145.7180140023335,145.7180140023335,False,False,True
2017-10,4631,664219.4299999991,664219.4299999991,143.4289419131935,143.4289419131935,False,False,True
2017-11,7544,1010271.3699999962,1010271.3699999962,133.91720174973437,133.91720174973437,False,False,True
2017-12,5673,743914.1699999978,743914.1699999978,131.13241142252738,131.13241142252738,False,False,True
2018-01,7269,950030.3599999965,950030.3599999965,130.69615628009308,130.69615628009308,False,False,True
2018-02,6728,844178.7099999972,844178.7099999972,125.47245986920291,125.47245986920291,False,False,True
2018-03,7211,983213.4399999974,983213.4399999974,136.34911108029362,136.34911108029362,False,False,True
2018-04,6939,996647.7499999979,996647.7499999979,143.62988182735234,143.62988182735234,False,False,True
2018-05,6873,996517.6799999995,996517.6799999995,144.9902051505892,144.9902051505892,False,False,True
2018-06,6167,865124.3099999973,865124.3099999973,140.2828457921189,140.2828457921189,False,False,True
2018-07,6292,895507.2199999972,895507.2199999972,142.324732994278,142.324732994278,False,False,True
2018-08,6512,854686.3299999976,854686.3299999976,131.24790079852542,131.24790079852542,False,False,True
2018-09,16,145.0,145.0,9.0625,9.0625,False,True,False
2018-10,4,0.0,0.0,0.0,0.0,True,True,False
