seller_rank,seller_id_short,seller_state,total_orders,seller_attributed_order_value,avg_review,late_rate,performance_tier
1,4869f7a5...52b2,SP,1132,249640.69999999984,4.133451957295374,0.11565836298932385,high
2,7c67e144...10ab,SP,982,239536.44000000006,3.4861680327868854,0.10071942446043165,high
3,53243585...8905,BA,358,235856.68,4.132022471910112,0.04310344827586207,high
4,4a3ca931...3884,SP,1806,235539.95999999973,3.827731092436975,0.1100451467268623,high
5,fa1c13f2...da94,SP,585,204084.73000000004,4.339070567986231,0.10207612456747404,high
6,da8622b1...b84a,SP,1314,185192.32,4.17354740061162,0.07627765064836003,high
7,7e93a43e...753a,SP,336,182754.05000000002,4.214925373134329,0.05642633228840126,high
8,1025f0e2...0bfa,SP,915,172860.69,3.992282249173098,0.1010989010989011,high
9,7a67c85e...d736,SP,1160,162648.38000000012,4.24370112945265,0.059388646288209605,high
10,955fee92...ce60,SP,1287,160602.68000000017,4.157400156617071,0.07771609833465504,high
11,6560211a...94c0,SP,1854,151265.76999999955,3.935799782372144,0.06432105552501374,high
12,1f50f920...3100,SP,1404,142104.9799999999,4.132952108649035,0.10578984989278056,high
13,46dc3b2c...718e,RJ,521,139909.69000000003,4.194174757281553,0.06547619047619048,high
14,a1043baf...eb48,MG,718,133745.25000000003,4.222377622377622,0.05698005698005698,high
15,cc419e06...556a,SP,1706,129957.40999999989,4.074106792304672,0.06117504542701393,high
16,620c87c1...9fc6,RJ,740,128909.70999999999,4.251023192360163,0.09944751381215469,high
17,5dceca12...f8ca,SP,325,125816.92000000001,3.984423676012461,0.062111801242236024,high
18,7d13fca1...0964,SP,565,122261.02000000006,4.024955436720143,0.12186379928315412,high
19,3d871de0...3cb1,SP,1080,117347.70999999986,4.152478952291862,0.05921052631578947,high
20,edb1ef5e...486d,RJ,166,83189.65,4.421686746987952,0.07878787878787878,high
21,ccc4bbb5...14e3,PR,187,79261.6,4.28494623655914,0.07608695652173914,high
22,cca3071e...1306,SP,712,78381.29000000002,3.845,0.058655221745350504,high
23,8581055c...40de,SP,387,74584.29999999997,4.261658031088083,0.10026385224274406,high
24,f7ba60f8...70c4,SP,219,72736.00999999997,4.205479452054795,0.1559633027522936,high
